"Block.Size"	"Transactions.in.block"	"Un.modified.Base.Reward"	"Block.Penalty"	"New.base.reward"	"Fees.in.Block"	"Total.Block.Reward.with.Fees"	"Remaining.of.txs.in.txpool"	"Num.transactions.entered.into.txpool"	"Oldest.tx"	"Median100"
575897.943691241	26	8305191100506.98	7024316112772.99	1280874987733.99	7472175754191.85	8753050741925.84	446	46	12	3e+05
586944.172775521	23	8305188657431.83	7598044134179.09	707144523252.738	7615521757835.43	8322666281088.17	470	46	13	3e+05
588127.906546814	23	8305187308660.69	7660860775475.5	644326533185.188	7630880659696.72	8275207192881.91	479	31	12	3e+05
569976.733346055	27	8305186079705.36	6726041371173.08	1579144708532.28	7395333396887.62	8974478105419.89	491	38	13	3e+05
582778.058345497	25	8305183067725.86	0	8305183067725.86	7561455669662.25	15866638737388.1	500	33	13	3e+05
587787.973116263	22	8305167226846.29	7642776384882.9	662390841963.385	7626468221399.59	8288859063362.98	524	45	14	3e+05
595311.07036356	23	8305165963436.02	8047579236699.46	257586726736.56	7724094986868.47	7981681713605.03	533	31	14	3e+05
579426.034978161	26	8305165472128.33	0	8305165472128.33	7517954765235.69	15823120237364	532	24	15	3e+05
582381.451615926	22	8305149631282.32	0	8305149631282.32	7556306290164.96	15861455921447.3	566	55	15	3e+05
595918.142098667	22	8305133790466.53	8080668800766.76	224464989699.768	7731969839808.69	7956434829508.46	581	36	15	3e+05
592357.285758792	24	8305133362333.54	0	8305133362333.54	7685759310272.97	15990892672606.5	587	29	16	304969.58775496
603911.996276727	29	8305117521548.77	7867395292214.93	437722229333.84	7835702585495.71	8273424814829.55	598	39	16	306043.089276849
640088.971006162	25	8305116686659.88	8120060388820.98	185056297838.895	8305155754585.44	8490212052424.33	605	31	17	321847.453196396
653976.396719494	30	8305116333693	8302067804783.93	3048528909.07031	8485366798657.78	8488415327566.85	648	72	17	327018.210461007
676244.588542095	26	8305116327878.39	7755634141135.42	549482186742.971	8774336293027.32	9323818479770.29	669	46	17	343908.031923809
706208.788211597	28	8305115279824.29	8172403006249.9	132712273574.393	9163162756535.71	9295875030110.1	686	44	17	354526.393648617
721001.655743879	25	8305115026695.72	7780600032426.98	524514994268.738	9355123102421.87	9879638096690.6	717	55	18	366379.90684509
716001.42965174	26	8305114026262.76	7589226610328.81	715887415933.952	9290229038437.88	10006116454371.8	742	50	18	366067.055024202
734619.246800874	22	8305112660815.88	7866516213312.34	438596447503.539	9531818768337.52	9970415215841.06	754	33	18	372291.506587088
752750.075703768	28	8305111824259.54	8158318646739.58	146793177519.963	9767099042183.25	9913892219703.21	756	29	19	378053.010920013
769922.390669208	25	8305111544273.78	7949662555233.06	355448989040.718	9989939823851.75	10345388812892.5	773	41	19	389170.741054925
754982.091129782	35	8305110866308.63	7594631671688.72	710479194619.913	9796060590077.58	10506539784697.5	766	27	20	385929.344132296
764692.606473887	29	8305109511177.11	7815872397654.38	489237113522.733	9922071074649.63	10411308188172.4	780	42	20	388149.3334863
707047.641103337	25	8305108578031.38	5833799149746.57	2471309428284.8	9174019440005.74	11645328868290.5	794	38	20	384659.304639197
768840.307283636	28	8305103864382.71	8267693548372.35	37410316010.3652	9975891068038.73	10013301384049.1	817	50	20	384854.036268586
751792.749156806	29	8305103793028.2	8277937627655.15	27166165373.0488	9754648882641.68	9781815048014.73	836	47	20	376204.269543719
744670.866606244	30	8305103741212.85	8246146538857.41	58957202355.4414	9662228881535.45	9721186083890.89	830	23	21	372998.583359724
716699.782085779	24	8305103628760.91	7903671597836.19	401432030924.724	9299252148449.65	9700684179374.38	842	35	21	362788.079251244
697609.48977408	26	8305102863090.08	7668594878784.72	636507984305.358	9051517451697.9	9688025436003.26	873	56	21	355756.961229184
669958.493415894	28	8305101649047.45	7730616525857.29	574485123190.155	8692681749144.42	9267166872334.57	858	12	21	340981.546654623
